method: org.apache.fop.pdf.PDFEncryptionParams.getUserPassword:770054821
0(770054821) -> 0(256581631) 
this(770054821) -> this(256581631) 
0(770054821) -> $r0(256581631) 
0(256581631) -> 0(472244659) 
this(256581631) -> this(472244659) 
$r0(256581631) -> $r0(472244659) 
0(472244659) -> 0(2063908148) 
this(472244659) -> this(2063908148) 
$r0(472244659) -> $r0(2063908148) 
0(2063908148) -> 0(-770054821) 
this(2063908148) -> this(-770054821) 
$r0(2063908148) -> $r0(-770054821) 
$r0(2063908148) -> .return(-770054821) 
