method: org.apache.fop.layoutmgr.inline.LineLayoutManager$LineBreakingAlgorithm.updateData2:1153650079
0(1153650079) -> 0(440126555) 
this(1153650079) -> this(440126555) 
bestActiveNode(1153650079) -> bestActiveNode(440126555) 
par(1153650079) -> par(440126555) 
0(1153650079) -> textDiff(440126555) 
0(1153650079) -> $r0(440126555) 
0(1153650079) -> $r1(440126555) 
0(1153650079) -> $r3(440126555) 
0(1153650079) -> $r4(440126555) 
0(1153650079) -> $r5(440126555) 
0(1153650079) -> $r6(440126555) 
0(1153650079) -> $r7(440126555) 
0(1153650079) -> $r8(440126555) 
0(1153650079) -> $r9(440126555) 
0(1153650079) -> $r10(440126555) 
0(1153650079) -> $r11(440126555) 
0(1153650079) -> $r14(440126555) 
0(1153650079) -> $r15(440126555) 
0(1153650079) -> $r16(440126555) 
0(1153650079) -> $r17(440126555) 
0(1153650079) -> $r18(440126555) 
0(1153650079) -> $r19(440126555) 
0(440126555) -> 0(1273329617) 
this(440126555) -> this(1273329617) 
bestActiveNode(440126555) -> bestActiveNode(1273329617) 
par(440126555) -> par(1273329617) 
textDiff(440126555) -> textDiff(1273329617) 
$r0(440126555) -> $r0(1273329617) 
$r1(440126555) -> $r1(1273329617) 
$r3(440126555) -> $r3(1273329617) 
$r4(440126555) -> $r4(1273329617) 
$r5(440126555) -> $r5(1273329617) 
$r6(440126555) -> $r6(1273329617) 
$r7(440126555) -> $r7(1273329617) 
$r8(440126555) -> $r8(1273329617) 
$r9(440126555) -> $r9(1273329617) 
$r10(440126555) -> $r10(1273329617) 
$r11(440126555) -> $r11(1273329617) 
$r14(440126555) -> $r14(1273329617) 
$r15(440126555) -> $r15(1273329617) 
$r16(440126555) -> $r16(1273329617) 
$r17(440126555) -> $r17(1273329617) 
$r18(440126555) -> $r18(1273329617) 
$r19(440126555) -> $r19(1273329617) 
0(1273329617) -> 0(1176330564) 
this(1273329617) -> this(1176330564) 
bestActiveNode(1273329617) -> bestActiveNode(1176330564) 
par(1273329617) -> par(1176330564) 
textDiff(1273329617) -> textDiff(1176330564) 
$r0(1273329617) -> $r0(1176330564) 
$r1(1273329617) -> $r1(1176330564) 
$r3(1273329617) -> $r3(1176330564) 
$r4(1273329617) -> $r4(1176330564) 
$r5(1273329617) -> $r5(1176330564) 
$r6(1273329617) -> $r6(1176330564) 
$r7(1273329617) -> $r7(1176330564) 
$r8(1273329617) -> $r8(1176330564) 
$r9(1273329617) -> $r9(1176330564) 
$r10(1273329617) -> $r10(1176330564) 
$r11(1273329617) -> $r11(1176330564) 
$r14(1273329617) -> $r14(1176330564) 
$r15(1273329617) -> $r15(1176330564) 
$r16(1273329617) -> $r16(1176330564) 
$r17(1273329617) -> $r17(1176330564) 
$r18(1273329617) -> $r18(1176330564) 
$r19(1273329617) -> $r19(1176330564) 
0(1176330564) -> 0(853334866) 
this(1176330564) -> this(853334866) 
bestActiveNode(1176330564) -> bestActiveNode(853334866) 
par(1176330564) -> par(853334866) 
textDiff(1176330564) -> textDiff(853334866) 
$r0(1176330564) -> $r0(853334866) 
$r1(1176330564) -> $r1(853334866) 
$r3(1176330564) -> $r3(853334866) 
$r4(1176330564) -> $r4(853334866) 
$r5(1176330564) -> $r5(853334866) 
$r6(1176330564) -> $r6(853334866) 
$r7(1176330564) -> $r7(853334866) 
$r8(1176330564) -> $r8(853334866) 
$r9(1176330564) -> $r9(853334866) 
$r10(1176330564) -> $r10(853334866) 
$r11(1176330564) -> $r11(853334866) 
$r14(1176330564) -> $r14(853334866) 
$r15(1176330564) -> $r15(853334866) 
$r16(1176330564) -> $r16(853334866) 
$r17(1176330564) -> $r17(853334866) 
$r18(1176330564) -> $r18(853334866) 
$r19(1176330564) -> $r19(853334866) 
0(853334866) -> 0(1758971974) 
this(853334866) -> this(1758971974) 
bestActiveNode(853334866) -> bestActiveNode(1758971974) 
par(853334866) -> par(1758971974) 
textDiff(853334866) -> textDiff(1758971974) 
$r0(853334866) -> $r0(1758971974) 
$r1(853334866) -> $r1(1758971974) 
$r3(853334866) -> $r3(1758971974) 
$r4(853334866) -> $r4(1758971974) 
$r5(853334866) -> $r5(1758971974) 
$r6(853334866) -> $r6(1758971974) 
$r7(853334866) -> $r7(1758971974) 
$r8(853334866) -> $r8(1758971974) 
$r9(853334866) -> $r9(1758971974) 
$r10(853334866) -> $r10(1758971974) 
$r11(853334866) -> $r11(1758971974) 
$r14(853334866) -> $r14(1758971974) 
$r15(853334866) -> $r15(1758971974) 
$r16(853334866) -> $r16(1758971974) 
$r17(853334866) -> $r17(1758971974) 
$r18(853334866) -> $r18(1758971974) 
$r19(853334866) -> $r19(1758971974) 
0(1758971974) -> 0(314184607) 
this(1758971974) -> this(314184607) 
bestActiveNode(1758971974) -> bestActiveNode(314184607) 
par(1758971974) -> par(314184607) 
textDiff(1758971974) -> textDiff(314184607) 
$r0(1758971974) -> $r0(314184607) 
$r1(1758971974) -> $r1(314184607) 
$r3(1758971974) -> $r3(314184607) 
$r4(1758971974) -> $r4(314184607) 
$r5(1758971974) -> $r5(314184607) 
$r6(1758971974) -> $r6(314184607) 
$r7(1758971974) -> $r7(314184607) 
$r8(1758971974) -> $r8(314184607) 
$r9(1758971974) -> $r9(314184607) 
$r10(1758971974) -> $r10(314184607) 
$r11(1758971974) -> $r11(314184607) 
$r14(1758971974) -> $r14(314184607) 
$r15(1758971974) -> $r15(314184607) 
$r16(1758971974) -> $r16(314184607) 
$r17(1758971974) -> $r17(314184607) 
$r18(1758971974) -> $r18(314184607) 
$r19(1758971974) -> $r19(314184607) 
0(314184607) -> 0(587143387) 
this(314184607) -> this(587143387) 
bestActiveNode(314184607) -> bestActiveNode(587143387) 
par(314184607) -> par(587143387) 
textDiff(314184607) -> textDiff(587143387) 
$r0(314184607) -> $r0(587143387) 
$r1(314184607) -> $r1(587143387) 
$r3(314184607) -> $r3(587143387) 
$r4(314184607) -> $r4(587143387) 
$r5(314184607) -> $r5(587143387) 
$r6(314184607) -> $r6(587143387) 
$r7(314184607) -> $r7(587143387) 
$r8(314184607) -> $r8(587143387) 
$r9(314184607) -> $r9(587143387) 
$r10(314184607) -> $r10(587143387) 
$r11(314184607) -> $r11(587143387) 
$r14(314184607) -> $r14(587143387) 
$r15(314184607) -> $r15(587143387) 
$r16(314184607) -> $r16(587143387) 
$r17(314184607) -> $r17(587143387) 
$r18(314184607) -> $r18(587143387) 
$r19(314184607) -> $r19(587143387) 
0(587143387) -> 0(963934689) 
this(587143387) -> this(963934689) 
bestActiveNode(587143387) -> bestActiveNode(963934689) 
par(587143387) -> par(963934689) 
textDiff(587143387) -> textDiff(963934689) 
$r0(587143387) -> $r0(963934689) 
$r1(587143387) -> $r1(963934689) 
$r3(587143387) -> $r3(963934689) 
$r4(587143387) -> $r4(963934689) 
$r5(587143387) -> $r5(963934689) 
$r6(587143387) -> $r6(963934689) 
$r7(587143387) -> $r7(963934689) 
$r8(587143387) -> $r8(963934689) 
$r9(587143387) -> $r9(963934689) 
$r10(587143387) -> $r10(963934689) 
$r11(587143387) -> $r11(963934689) 
$r14(587143387) -> $r14(963934689) 
$r15(587143387) -> $r15(963934689) 
$r16(587143387) -> $r16(963934689) 
$r17(587143387) -> $r17(963934689) 
$r18(587143387) -> $r18(963934689) 
$r19(587143387) -> $r19(963934689) 
0(963934689) -> 0(653454583) 
this(963934689) -> this(653454583) 
bestActiveNode(963934689) -> bestActiveNode(653454583) 
par(963934689) -> par(653454583) 
textDiff(963934689) -> textDiff(653454583) 
$r0(963934689) -> $r0(653454583) 
$r1(963934689) -> $r1(653454583) 
$r3(963934689) -> $r3(653454583) 
$r4(963934689) -> $r4(653454583) 
$r5(963934689) -> $r5(653454583) 
$r6(963934689) -> $r6(653454583) 
$r7(963934689) -> $r7(653454583) 
$r8(963934689) -> $r8(653454583) 
$r9(963934689) -> $r9(653454583) 
$r10(963934689) -> $r10(653454583) 
$r11(963934689) -> $r11(653454583) 
$r14(963934689) -> $r14(653454583) 
$r15(963934689) -> $r15(653454583) 
$r16(963934689) -> $r16(653454583) 
$r17(963934689) -> $r17(653454583) 
$r18(963934689) -> $r18(653454583) 
$r19(963934689) -> $r19(653454583) 
0(963934689) -> 0(1944612669) 
this(963934689) -> this(1944612669) 
bestActiveNode(963934689) -> bestActiveNode(1944612669) 
par(963934689) -> par(1944612669) 
textDiff(963934689) -> textDiff(1944612669) 
$r0(963934689) -> $r0(1944612669) 
$r1(963934689) -> $r1(1944612669) 
$r3(963934689) -> $r3(1944612669) 
$r4(963934689) -> $r4(1944612669) 
$r5(963934689) -> $r5(1944612669) 
$r6(963934689) -> $r6(1944612669) 
$r7(963934689) -> $r7(1944612669) 
$r8(963934689) -> $r8(1944612669) 
$r9(963934689) -> $r9(1944612669) 
$r10(963934689) -> $r10(1944612669) 
$r11(963934689) -> $r11(1944612669) 
$r14(963934689) -> $r14(1944612669) 
$r15(963934689) -> $r15(1944612669) 
$r16(963934689) -> $r16(1944612669) 
$r17(963934689) -> $r17(1944612669) 
$r18(963934689) -> $r18(1944612669) 
$r19(963934689) -> $r19(1944612669) 
0(1944612669) -> 0(551504190) 
this(1944612669) -> this(551504190) 
bestActiveNode(1944612669) -> bestActiveNode(551504190) 
par(1944612669) -> par(551504190) 
textDiff(1944612669) -> textDiff(551504190) 
$r0(1944612669) -> $r0(551504190) 
$r1(1944612669) -> $r1(551504190) 
$r3(1944612669) -> $r3(551504190) 
$r4(1944612669) -> $r4(551504190) 
$r5(1944612669) -> $r5(551504190) 
$r6(1944612669) -> $r6(551504190) 
$r7(1944612669) -> $r7(551504190) 
$r8(1944612669) -> $r8(551504190) 
$r9(1944612669) -> $r9(551504190) 
$r10(1944612669) -> $r10(551504190) 
