method: org.apache.fop.area.inline.AbstractTextArea$TextAdjustingInfo.<init>:1133291827
83259 -> 83260
83261 -> 83262
83263 -> 83264
83260 -> 83265
83262 -> 83266
83264 -> 83267
83265 -> 83268
83266 -> 83269
83267 -> 83270
83268 -> 83271
83269 -> 83272
83270 -> 83273
83271 -> 83274
83272 -> 83275
83273 -> 83276
83274 -> 83277
83275 -> 83278
83276 -> 83279
83277 -> 83280
83278 -> 83281
83279 -> 83282
83280 -> 83283
83281 -> 83284
83282 -> 83285
83283 -> 83286
83284 -> 83287
83285 -> 83288
83286 -> 83289
83287 -> 83290
83288 -> 83291
83286 -> 83292
