method: org.apache.fop.pdf.PDFFontType0.<init>:2107002175
1611952 -> 1611953
1611954 -> 1611955
1611956 -> 1611957
1611958 -> 1611959
1611960 -> 1611961
1611962 -> 1611963
1611952 -> 1611964
1611953 -> 1611965
1611955 -> 1611966
1611957 -> 1611967
1611959 -> 1611968
1611961 -> 1611969
1611963 -> 1611970
1611964 -> 1611971
1611965 -> 1611972
1611966 -> 1611973
1611967 -> 1611974
1611968 -> 1611975
1611969 -> 1611976
1611970 -> 1611977
1611971 -> 1611978
1611972 -> 1611979
1611973 -> 1611980
1611974 -> 1611981
1611975 -> 1611982
1611976 -> 1611983
1611977 -> 1611984
1611978 -> 1611985
1611979 -> 1611986
1611980 -> 1611987
1611981 -> 1611988
1611982 -> 1611989
1611983 -> 1611990
1611984 -> 1611991
1611985 -> 1611992
1611986 -> 1611993
1611987 -> 1611994
1611988 -> 1611995
1611989 -> 1611996
1611990 -> 1611997
1611991 -> 1611998
1611992 -> 1611999
1611993 -> 1612000
1611994 -> 1612001
1611995 -> 1612002
1611996 -> 1612003
1611997 -> 1612004
1611998 -> 1612005
1611999 -> 1612006
1612000 -> 1612007
1612001 -> 1612008
1612002 -> 1612009
1612003 -> 1612010
1612004 -> 1612011
1612005 -> 1612012
1612006 -> 1612013
1612007 -> 1612014
1612008 -> 1612015
1612009 -> 1612016
1612010 -> 1612017
1612011 -> 1612018
1612012 -> 1612019
1612013 -> 1612020
1612014 -> 1612021
1612015 -> 1612022
1612016 -> 1612023
1612017 -> 1612024
1612018 -> 1612025
1612019 -> 1612026
1612020 -> 1612027
1612014 -> 1612028
