method: org.apache.fop.pdf.PDFFontType1.<init>:658226896
1612097 -> 1612098
1612099 -> 1612100
1612101 -> 1612102
1612103 -> 1612104
1612105 -> 1612106
1612097 -> 1612107
1612098 -> 1612108
1612100 -> 1612109
1612102 -> 1612110
1612104 -> 1612111
1612106 -> 1612112
1612107 -> 1612113
1612108 -> 1612114
1612109 -> 1612115
1612110 -> 1612116
1612111 -> 1612117
1612112 -> 1612118
1612113 -> 1612119
1612114 -> 1612120
1612115 -> 1612121
1612116 -> 1612122
1612117 -> 1612123
1612118 -> 1612124
1612119 -> 1612125
1612120 -> 1612126
1612121 -> 1612127
1612122 -> 1612128
1612123 -> 1612129
1612124 -> 1612130
1612125 -> 1612131
1612126 -> 1612132
1612127 -> 1612133
1612128 -> 1612134
1612129 -> 1612135
1612130 -> 1612136
1612131 -> 1612137
1612132 -> 1612138
1612133 -> 1612139
1612134 -> 1612140
1612135 -> 1612141
1612136 -> 1612142
1612137 -> 1612143
1612138 -> 1612144
1612139 -> 1612145
1612140 -> 1612146
1612141 -> 1612147
1612142 -> 1612148
1612143 -> 1612149
1612138 -> 1612150
