method: org.apache.fop.render.ps.PSDictionary$Maker.nextToken:1233192520
0(1233192520) -> 0(505436906) 
this(1233192520) -> this(505436906) 
str(1233192520) -> str(505436906) 
0(1233192520) -> t(505436906) 
0(1233192520) -> $r0(505436906) 
0(1233192520) -> $r1(505436906) 
0(505436906) -> 0(1580255257) 
this(505436906) -> this(1580255257) 
str(505436906) -> str(1580255257) 
t(505436906) -> t(1580255257) 
$r0(505436906) -> $r0(1580255257) 
$r1(505436906) -> $r1(1580255257) 
0(1580255257) -> 0(1419841950) 
this(1580255257) -> this(1419841950) 
str(1580255257) -> str(1419841950) 
t(1580255257) -> t(1419841950) 
$r0(1580255257) -> $r0(1419841950) 
$r1(1580255257) -> $r1(1419841950) 
0(1419841950) -> 0(1322592307) 
this(1419841950) -> this(1322592307) 
str(1419841950) -> str(1322592307) 
t(1419841950) -> t(1322592307) 
$r0(1419841950) -> $r0(1322592307) 
$r1(1419841950) -> $r1(1322592307) 
0(1322592307) -> 0(1455881141) 
0(1322592307) -> t(1455881141) 
this(1322592307) -> this(1455881141) 
str(1322592307) -> str(1455881141) 
$r0(1322592307) -> $r0(1455881141) 
$r1(1322592307) -> $r1(1455881141) 
0(1455881141) -> 0(1337834207) 
this(1455881141) -> this(1337834207) 
str(1455881141) -> str(1337834207) 
t(1455881141) -> t(1337834207) 
$r0(1455881141) -> $r0(1337834207) 
$r1(1455881141) -> $r1(1337834207) 
0(1337834207) -> 0(-1337834207) 
this(1337834207) -> this(-1337834207) 
str(1337834207) -> str(-1337834207) 
t(1337834207) -> t(-1337834207) 
$r0(1337834207) -> $r0(-1337834207) 
$r1(1337834207) -> $r1(-1337834207) 
0(-1337834207) -> 0(825732959) 
this(-1337834207) -> this(825732959) 
str(-1337834207) -> str(825732959) 
t(-1337834207) -> t(825732959) 
$r0(-1337834207) -> $r0(825732959) 
$r1(-1337834207) -> $r1(825732959) 
0(825732959) -> 0(121812719) 
this(825732959) -> this(121812719) 
str(825732959) -> str(121812719) 
t(825732959) -> t(121812719) 
$r0(825732959) -> $r0(121812719) 
$r1(825732959) -> $r1(121812719) 
0(825732959) -> 0(1143004961) 
this(825732959) -> this(1143004961) 
str(825732959) -> str(1143004961) 
t(825732959) -> t(1143004961) 
$r0(825732959) -> $r0(1143004961) 
$r1(825732959) -> $r1(1143004961) 
0(1143004961) -> 0(-1143004961) 
this(1143004961) -> this(-1143004961) 
str(1143004961) -> str(-1143004961) 
t(1143004961) -> t(-1143004961) 
$r0(1143004961) -> $r0(-1143004961) 
$r1(1143004961) -> $r1(-1143004961) 
0(-1143004961) -> 0(873179721) 
this(-1143004961) -> this(873179721) 
str(-1143004961) -> str(873179721) 
t(-1143004961) -> t(873179721) 
$r0(-1143004961) -> $r0(873179721) 
$r1(-1143004961) -> $r1(873179721) 
0(873179721) -> 0(-873179721) 
this(873179721) -> this(-873179721) 
str(873179721) -> str(-873179721) 
t(873179721) -> t(-873179721) 
$r0(873179721) -> $r0(-873179721) 
$r1(873179721) -> $r1(-873179721) 
0(-873179721) -> 0(326003066) 
this(-873179721) -> this(326003066) 
str(-873179721) -> str(326003066) 
t(-873179721) -> t(326003066) 
$r0(-873179721) -> $r0(326003066) 
$r1(-873179721) -> $r1(326003066) 
0(326003066) -> 0(2014099710) 
this(326003066) -> this(2014099710) 
str(326003066) -> str(2014099710) 
t(326003066) -> t(2014099710) 
$r0(326003066) -> $r0(2014099710) 
$r1(326003066) -> $r1(2014099710) 
0(326003066) -> 0(492913300) 
this(326003066) -> this(492913300) 
str(326003066) -> str(492913300) 
t(326003066) -> t(492913300) 
$r0(326003066) -> $r0(492913300) 
$r1(326003066) -> $r1(492913300) 
0(492913300) -> 0(2014099710) 
this(492913300) -> this(2014099710) 
str(492913300) -> str(2014099710) 
t(492913300) -> t(2014099710) 
$r0(492913300) -> $r0(2014099710) 
$r1(492913300) -> $r1(2014099710) 
0(492913300) -> 0(1549406621) 
this(492913300) -> this(1549406621) 
str(492913300) -> str(1549406621) 
t(492913300) -> t(1549406621) 
$r0(492913300) -> $r0(1549406621) 
$r1(492913300) -> $r1(1549406621) 
0(1549406621) -> 0(267825121) 
this(1549406621) -> this(267825121) 
str(1549406621) -> str(267825121) 
t(1549406621) -> t(267825121) 
$r1(1549406621) -> $r1(267825121) 
0(267825121) -> 0(211084535) 
this(267825121) -> this(211084535) 
str(267825121) -> str(211084535) 
t(267825121) -> t(211084535) 
$r0(267825121) -> $r0(211084535) 
$r1(267825121) -> $r1(211084535) 
0(211084535) -> 0(2139633443) 
this(211084535) -> this(2139633443) 
str(211084535) -> str(2139633443) 
$r0(211084535) -> t(2139633443) 
$r0(211084535) -> $r0(2139633443) 
$r1(211084535) -> $r1(2139633443) 
0(2139633443) -> 0(1229181722) 
this(2139633443) -> this(1229181722) 
str(2139633443) -> str(1229181722) 
t(2139633443) -> t(1229181722) 
$r0(2139633443) -> $r0(1229181722) 
$r1(2139633443) -> $r1(1229181722) 
0(1229181722) -> 0(802543217) 
