method: org.apache.fop.render.java2d.Java2DGraphics2DAdapter.paintImage:285286959
0(285286959) -> 0(1836941844) 
this(285286959) -> this(1836941844) 
painter(285286959) -> painter(1836941844) 
context(285286959) -> context(1836941844) 
0(285286959) -> dim(1836941844) 
0(285286959) -> renderer(1836941844) 
0(285286959) -> state(1836941844) 
0(285286959) -> g2d(1836941844) 
0(285286959) -> at(1836941844) 
0(285286959) -> area(1836941844) 
0(285286959) -> $r0(1836941844) 
0(285286959) -> $r1(1836941844) 
0(285286959) -> $r2(1836941844) 
0(285286959) -> $r3(1836941844) 
0(285286959) -> $r4(1836941844) 
0(1836941844) -> 0(1256662836) 
this(1836941844) -> this(1256662836) 
painter(1836941844) -> painter(1256662836) 
context(1836941844) -> context(1256662836) 
dim(1836941844) -> dim(1256662836) 
renderer(1836941844) -> renderer(1256662836) 
state(1836941844) -> state(1256662836) 
g2d(1836941844) -> g2d(1256662836) 
at(1836941844) -> at(1256662836) 
area(1836941844) -> area(1256662836) 
$r0(1836941844) -> $r0(1256662836) 
$r1(1836941844) -> $r1(1256662836) 
$r2(1836941844) -> $r2(1256662836) 
$r3(1836941844) -> $r3(1256662836) 
$r4(1836941844) -> $r4(1256662836) 
0(1256662836) -> 0(230616407) 
this(1256662836) -> this(230616407) 
painter(1256662836) -> painter(230616407) 
context(1256662836) -> context(230616407) 
dim(1256662836) -> dim(230616407) 
renderer(1256662836) -> renderer(230616407) 
state(1256662836) -> state(230616407) 
g2d(1256662836) -> g2d(230616407) 
at(1256662836) -> at(230616407) 
area(1256662836) -> area(230616407) 
$r0(1256662836) -> $r0(230616407) 
$r1(1256662836) -> $r1(230616407) 
$r2(1256662836) -> $r2(230616407) 
$r3(1256662836) -> $r3(230616407) 
$r4(1256662836) -> $r4(230616407) 
0(230616407) -> 0(1909453261) 
this(230616407) -> this(1909453261) 
painter(230616407) -> painter(1909453261) 
context(230616407) -> context(1909453261) 
dim(230616407) -> dim(1909453261) 
renderer(230616407) -> renderer(1909453261) 
state(230616407) -> state(1909453261) 
g2d(230616407) -> g2d(1909453261) 
at(230616407) -> at(1909453261) 
area(230616407) -> area(1909453261) 
$r0(230616407) -> $r0(1909453261) 
$r1(230616407) -> $r1(1909453261) 
$r2(230616407) -> $r2(1909453261) 
$r3(230616407) -> $r3(1909453261) 
$r4(230616407) -> $r4(1909453261) 
0(1909453261) -> 0(185336859) 
this(1909453261) -> this(185336859) 
painter(1909453261) -> painter(185336859) 
context(1909453261) -> context(185336859) 
dim(1909453261) -> dim(185336859) 
renderer(1909453261) -> renderer(185336859) 
state(1909453261) -> state(185336859) 
g2d(1909453261) -> g2d(185336859) 
at(1909453261) -> at(185336859) 
area(1909453261) -> area(185336859) 
$r0(1909453261) -> $r0(185336859) 
$r1(1909453261) -> $r1(185336859) 
$r2(1909453261) -> $r2(185336859) 
$r3(1909453261) -> $r3(185336859) 
$r4(1909453261) -> $r4(185336859) 
0(185336859) -> 0(1105301063) 
this(185336859) -> this(1105301063) 
painter(185336859) -> painter(1105301063) 
context(185336859) -> context(1105301063) 
dim(185336859) -> dim(1105301063) 
renderer(185336859) -> renderer(1105301063) 
state(185336859) -> state(1105301063) 
g2d(185336859) -> g2d(1105301063) 
at(185336859) -> at(1105301063) 
area(185336859) -> area(1105301063) 
$r0(185336859) -> $r0(1105301063) 
$r1(185336859) -> $r1(1105301063) 
$r2(185336859) -> $r2(1105301063) 
$r3(185336859) -> $r3(1105301063) 
$r4(185336859) -> $r4(1105301063) 
0(1105301063) -> 0(1061419291) 
this(1105301063) -> this(1061419291) 
painter(1105301063) -> painter(1061419291) 
context(1105301063) -> context(1061419291) 
dim(1105301063) -> dim(1061419291) 
renderer(1105301063) -> renderer(1061419291) 
state(1105301063) -> state(1061419291) 
g2d(1105301063) -> g2d(1061419291) 
at(1105301063) -> at(1061419291) 
area(1105301063) -> area(1061419291) 
$r0(1105301063) -> $r0(1061419291) 
$r1(1105301063) -> $r1(1061419291) 
$r2(1105301063) -> $r2(1061419291) 
$r3(1105301063) -> $r3(1061419291) 
$r4(1105301063) -> $r4(1061419291) 
0(1061419291) -> 0(1783759444) 
this(1061419291) -> this(1783759444) 
painter(1061419291) -> painter(1783759444) 
context(1061419291) -> context(1783759444) 
dim(1061419291) -> dim(1783759444) 
renderer(1061419291) -> renderer(1783759444) 
state(1061419291) -> state(1783759444) 
g2d(1061419291) -> g2d(1783759444) 
at(1061419291) -> at(1783759444) 
area(1061419291) -> area(1783759444) 
$r0(1061419291) -> $r0(1783759444) 
$r1(1061419291) -> $r1(1783759444) 
$r2(1061419291) -> $r2(1783759444) 
$r3(1061419291) -> $r3(1783759444) 
$r4(1061419291) -> $r4(1783759444) 
0(1783759444) -> 0(863402949) 
this(1783759444) -> this(863402949) 
painter(1783759444) -> painter(863402949) 
context(1783759444) -> context(863402949) 
dim(1783759444) -> dim(863402949) 
renderer(1783759444) -> renderer(863402949) 
state(1783759444) -> state(863402949) 
g2d(1783759444) -> g2d(863402949) 
at(1783759444) -> at(863402949) 
area(1783759444) -> area(863402949) 
$r0(1783759444) -> $r0(863402949) 
$r1(1783759444) -> $r1(863402949) 
$r2(1783759444) -> $r2(863402949) 
$r3(1783759444) -> $r3(863402949) 
$r4(1783759444) -> $r4(863402949) 
0(863402949) -> 0(403183543) 
this(863402949) -> this(403183543) 
painter(863402949) -> painter(403183543) 
context(863402949) -> context(403183543) 
dim(863402949) -> dim(403183543) 
renderer(863402949) -> renderer(403183543) 
state(863402949) -> state(403183543) 
g2d(863402949) -> g2d(403183543) 
at(863402949) -> at(403183543) 
area(863402949) -> area(403183543) 
$r0(863402949) -> $r0(403183543) 
$r1(863402949) -> $r1(403183543) 
$r2(863402949) -> $r2(403183543) 
$r3(863402949) -> $r3(403183543) 
$r4(863402949) -> $r4(403183543) 
0(403183543) -> 0(1959042029) 
this(403183543) -> this(1959042029) 
painter(403183543) -> painter(1959042029) 
context(403183543) -> context(1959042029) 
dim(403183543) -> dim(1959042029) 
renderer(403183543) -> renderer(1959042029) 
state(403183543) -> state(1959042029) 
g2d(403183543) -> g2d(1959042029) 
at(403183543) -> at(1959042029) 
area(403183543) -> area(1959042029) 
$r0(403183543) -> $r0(1959042029) 
$r1(403183543) -> $r1(1959042029) 
$r2(403183543) -> $r2(1959042029) 
$r3(403183543) -> $r3(1959042029) 
$r4(403183543) -> $r4(1959042029) 
0(1959042029) -> 0(803503636) 
this(1959042029) -> this(803503636) 
painter(1959042029) -> painter(803503636) 
context(1959042029) -> context(803503636) 
dim(1959042029) -> dim(803503636) 
renderer(1959042029) -> renderer(803503636) 
state(1959042029) -> state(803503636) 
g2d(1959042029) -> g2d(803503636) 
at(1959042029) -> at(803503636) 
area(1959042029) -> area(803503636) 
$r0(1959042029) -> $r0(803503636) 
$r1(1959042029) -> $r1(803503636) 
$r2(1959042029) -> $r2(803503636) 
$r3(1959042029) -> $r3(803503636) 
$r4(1959042029) -> $r4(803503636) 
0(803503636) -> 0(1642096347) 
this(803503636) -> this(1642096347) 
painter(803503636) -> painter(1642096347) 
context(803503636) -> context(1642096347) 
dim(803503636) -> dim(1642096347) 
renderer(803503636) -> renderer(1642096347) 
state(803503636) -> state(1642096347) 
g2d(803503636) -> g2d(1642096347) 
at(803503636) -> at(1642096347) 
area(803503636) -> area(1642096347) 
$r0(803503636) -> $r0(1642096347) 
$r1(803503636) -> $r1(1642096347) 
$r2(803503636) -> $r2(1642096347) 
$r3(803503636) -> $r3(1642096347) 
$r4(803503636) -> $r4(1642096347) 
0(1642096347) -> 0(864046916) 
this(1642096347) -> this(864046916) 
painter(1642096347) -> painter(864046916) 
context(1642096347) -> context(864046916) 
dim(1642096347) -> dim(864046916) 
renderer(1642096347) -> renderer(864046916) 
state(1642096347) -> state(864046916) 
g2d(1642096347) -> g2d(864046916) 
at(1642096347) -> at(864046916) 
area(1642096347) -> area(864046916) 
$r0(1642096347) -> $r0(864046916) 
$r1(1642096347) -> $r1(864046916) 
$r2(1642096347) -> $r2(864046916) 
$r3(1642096347) -> $r3(864046916) 
$r4(1642096347) -> $r4(864046916) 
0(864046916) -> 0(764085012) 
this(864046916) -> this(764085012) 
painter(864046916) -> painter(764085012) 
context(864046916) -> context(764085012) 
dim(864046916) -> dim(764085012) 
renderer(864046916) -> renderer(764085012) 
state(864046916) -> state(764085012) 
g2d(864046916) -> g2d(764085012) 
at(864046916) -> at(764085012) 
area(864046916) -> area(764085012) 
$r0(864046916) -> $r0(764085012) 
$r1(864046916) -> $r1(764085012) 
$r2(864046916) -> $r2(764085012) 
$r3(864046916) -> $r3(764085012) 
$r4(864046916) -> $r4(764085012) 
0(764085012) -> 0(1453107329) 
this(764085012) -> this(1453107329) 
